Date,AAPL,MSFT,GOOGL,NVDA,META,ADBE,CRM,INTC,JPM,BAC,WFC,GS,MS,V,MA,JNJ,UNH,PFE,ABBV,TMO,MRK,AMZN,WMT,HD,NKE,COST,MCD,SBUX,XOM,CVX,COP,EOG,BA,CAT,GE,UPS
2023-09-05 00:00:00-04:00,187.677978515625,327.98419189453125,134.75184631347656,48.51271057128906,298.06793212890625,564.8800048828125,216.41351318359375,36.106117248535156,137.85653686523438,27.09036636352539,39.25960922241211,307.2481384277344,78.66720581054688,241.2481689453125,406.2072448730469,149.92257690429688,458.6637268066406,30.678579330444336,134.83616638183594,537.9021606445312,99.45858764648438,137.27000427246094,52.09656524658203,310.0787658691406,96.04109954833984,525.8116455078125,264.75628662109375,91.43500518798828,104.9388656616211,150.93267822265625,114.33533477783203,122.93061065673828,222.57000732421875,271.65704345703125,88.97200775146484,144.67068481445312
2023-09-06 00:00:00-04:00,180.9603729248047,327.32537841796875,133.45169067382812,47.03066635131836,297.09466552734375,561.9400024414062,219.31298828125,36.371681213378906,137.62869262695312,26.844518661499023,38.768157958984375,304.76165771484375,78.03668975830078,242.05450439453125,407.86566162109375,147.43128967285156,454.97198486328125,29.802793502807617,134.38394165039062,532.6323852539062,98.51495361328125,135.36000061035156,52.486629486083984,308.3948669433594,95.90705871582031,527.70361328125,261.2283020019531,90.59468078613281,105.8447036743164,151.08680725097656,114.55872344970703,122.6817855834961,217.9499969482422,272.882080078125,88.81436157226562,143.20606994628906
2023-09-07 00:00:00-04:00,175.6674041748047,324.4049072265625,134.2456817626953,46.21119689941406,296.5981750488281,560.4600219726562,220.2135467529297,37.55194091796875,136.45138549804688,26.59867286682129,38.21054458618164,305.54937744140625,77.73995208740234,243.01817321777344,409.2870788574219,149.31607055664062,462.4794921875,29.72475242614746,137.4295196533203,527.6304931640625,99.85638427734375,137.85000610351562,53.136741638183594,310.68414306640625,93.75303649902344,529.5665893554688,263.9691162109375,89.79212188720703,105.32707214355469,151.0958709716797,113.29277801513672,121.23487854003906,216.0500030517578,271.4642028808594,88.11287689208984,143.14430236816406
2023-09-08 00:00:00-04:00,176.28079223632812,328.69219970703125,135.35728454589844,45.54262161254883,295.8235778808594,560.3599853515625,222.42031860351562,37.384735107421875,136.5558319091797,26.816150665283203,38.74925231933594,308.92791748046875,78.74138641357422,243.16566467285156,409.50433349609375,149.81057739257812,460.41094970703125,29.698734283447266,137.5310516357422,514.3421020507812,100.88323974609375,138.22999572753906,53.23426055908203,310.95849609375,93.50411224365234,532.04736328125,264.8132019042969,89.96208953857422,106.86146545410156,151.61270141601562,114.2329330444336,122.32233428955078,211.27000427246094,272.2840576171875,88.05769348144531,142.0855255126953
2023-09-11 00:00:00-04:00,177.44818115234375,332.30096435546875,135.89321899414062,45.14887237548828,305.426513671875,564.5,222.96463012695312,37.955196380615234,137.15399169921875,26.92961883544922,39.061134338378906,308.10223388671875,77.4339828491211,243.09683227539062,411.3305358886719,151.76998901367188,459.0798034667969,29.429933547973633,137.5495147705078,511.0373840332031,100.46694946289062,143.10000610351562,53.41953659057617,310.63690185546875,92.66165924072266,539.3738403320312,265.3253479003906,90.33031463623047,105.52119445800781,148.4844970703125,112.11061096191406,119.96308898925781,211.00999450683594,272.06219482421875,90.05973815917969,141.95318603515625
2023-09-12 00:00:00-04:00,174.4208221435547,326.2339172363281,134.32510375976562,44.8410758972168,299.56744384765625,542.2100219726562,219.35260009765625,38.22075653076172,138.9389190673828,27.3929443359375,40.204715728759766,314.0336608886719,79.32555389404297,243.17550659179688,410.9159240722656,152.62840270996094,459.57781982421875,29.612030029296875,137.76177978515625,507.1172790527344,100.8554916381836,141.22999572753906,53.47804260253906,308.65972900390625,92.19256591796875,539.3833618164062,266.226318359375,90.86849212646484,108.59918975830078,151.25,114.56802368164062,123.57572174072266,210.64999389648438,271.8307189941406,90.64299774169922,138.14169311523438
2023-09-13 00:00:00-04:00,172.3531036376953,330.4523010253906,135.684814453125,45.45568084716797,302.9438171386719,553.5599975585938,216.52235412597656,38.07322692871094,139.00535583496094,27.307842254638672,39.930633544921875,317.90570068359375,80.90185546875,243.69664001464844,410.9454650878906,153.01095581054688,459.5203857421875,29.551328659057617,139.50607299804688,507.0279541015625,99.73611450195312,144.85000610351562,53.491050720214844,308.28131103515625,92.02979278564453,540.3197631835938,267.23162841796875,91.5199966430664,107.628662109375,150.69692993164062,113.85128784179688,122.48825073242188,208.39999389648438,266.1492919921875,89.53951263427734,139.26217651367188
2023-09-14 00:00:00-04:00,173.86679077148438,333.0482482910156,137.06439208984375,45.55161666870117,309.55767822265625,552.1599731445312,216.50257873535156,38.03388214111328,141.7017059326172,27.61042594909668,40.68671417236328,327.00689697265625,82.58944702148438,237.47222900390625,408.0235900878906,152.77769470214844,463.12115478515625,29.612030029296875,141.79486083984375,512.082763671875,100.8165512084961,144.72000122070312,53.71533966064453,311.8288269042969,93.04460144042969,545.15576171875,270.0674133300781,91.73714447021484,109.55125427246094,151.63082885742188,115.88983917236328,124.10102081298828,209.0500030517578,272.5541076660156,91.15532684326172,141.81201171875
2023-09-15 00:00:00-04:00,173.14454650878906,324.7097473144531,136.36961364746094,43.871700286865234,298.2267761230469,528.8900146484375,212.3759765625,37.256874084472656,141.28396606445312,27.27001953125,40.59221267700195,325.0804138183594,81.97747039794922,237.04942321777344,408.9811096191406,150.64097595214844,466.0898742675781,29.54265594482422,140.3920440673828,511.9735412597656,100.14593505859375,140.38999938964844,53.51705551147461,304.04327392578125,92.15426635742188,537.0377807617188,263.8743591308594,90.85906219482422,107.86897277832031,150.96893310546875,115.0241470336914,121.81546020507812,208.11000061035156,269.2649230957031,91.0291976928711,141.60028076171875
2023-09-18 00:00:00-04:00,176.07302856445312,323.5691223144531,137.17355346679688,43.93765640258789,300.45123291015625,532.4199829101562,212.7619171142578,37.36506652832031,141.57830810546875,27.19437599182129,41.04585647583008,325.8206787109375,82.25562286376953,240.57952880859375,411.7648620605469,151.5927276611328,465.4768981933594,29.169795989990234,142.0717315673828,504.2273864746094,100.42536163330078,139.97999572753906,53.12049102783203,300.1268310546875,91.43624877929688,543.1769409179688,263.3905944824219,91.35948181152344,108.73785400390625,151.6217498779297,115.8712158203125,121.53900909423828,205.1199951171875,270.9915466308594,91.88046264648438,139.7915496826172
